date_fk,employee_fk,salary,risk_score,risk_factors
20240415,1,1600,0.03602380952380952,Salary Competitive Risk
20240415,2,1700,0.019999999999999997,Salary Competitive Risk
20240415,3,1800,0.2837222222222222,Salary Competitive Risk
20240415,4,1900,0.13508333333333333,Salary Competitive Risk
20240415,5,2000,0.7098809523809524,Healthy Profile
20240415,6,2100,0.3444880952380953,Healthy Profile
20240415,7,2200,0.05741666666666667,New Joiner Fragility
20240415,8,2300,0.03180555555555555,Healthy Profile
20240415,9,2400,0.030500000000000003,Healthy Profile
20240415,10,1500,0.0801111111111111,Salary Competitive Risk
20240415,11,1600,0.03428571428571429,Salary Competitive Risk
20240415,12,1700,0.49722222222222245,Salary Competitive Risk
20240415,13,1800,0.10383333333333333,Salary Competitive Risk
20240415,14,1900,0.4966825396825396,Salary Competitive Risk | New Joiner Fragility
20240415,15,2000,0.06245238095238095,Healthy Profile
20240415,16,2100,0.11113888888888887,Healthy Profile
20240415,17,2200,0.8369087301587301,New Joiner Fragility
20240415,18,2300,0.02,New Joiner Fragility
20240415,19,2400,0.01608333333333333,Healthy Profile
20240415,20,1500,0.0,Salary Competitive Risk
20240415,21,1600,0.10550000000000001,Salary Competitive Risk
20240415,22,1700,0.5359761904761904,Salary Competitive Risk
20240415,23,1800,0.05600000000000001,Salary Competitive Risk
20240415,24,1900,0.08783333333333333,Salary Competitive Risk
20240415,25,2000,0.03922222222222223,Healthy Profile
20240415,26,2100,0.08334126984126984,Healthy Profile
20240415,27,2200,0.17928571428571427,Healthy Profile
20240415,28,2300,0.0125,Healthy Profile
20240415,29,2400,0.14169444444444446,Healthy Profile
20240415,30,1500,0.13812301587301587,Salary Competitive Risk
20240415,31,1600,0.08595238095238095,Salary Competitive Risk
20240415,32,1700,0.0014285714285714286,Salary Competitive Risk
20240415,33,1800,0.06266666666666668,Salary Competitive Risk
20240415,34,1900,0.3366349206349206,Salary Competitive Risk
20240415,35,2000,0.0805,Healthy Profile
20240415,36,2100,0.039285714285714285,Healthy Profile
20240415,37,2200,0.0750952380952381,Healthy Profile
20240415,38,2300,0.2501190476190476,Healthy Profile
20240415,39,2400,0.13842857142857143,Healthy Profile
20240415,40,1500,0.0,Salary Competitive Risk
20240415,41,1600,0.0,Salary Competitive Risk | New Joiner Fragility
20240415,42,1700,0.3246111111111111,Salary Competitive Risk
20240415,43,1800,0.002,Salary Competitive Risk | New Joiner Fragility
20240415,44,1900,0.015416666666666667,Salary Competitive Risk
20240415,45,2000,0.028333333333333332,Healthy Profile
20240415,46,2100,0.2963095238095238,Healthy Profile
20240415,47,2200,0.0016666666666666666,Healthy Profile
20240415,48,2300,0.17363095238095239,Healthy Profile
20240415,49,2400,0.02461904761904762,Healthy Profile
20240415,50,1500,0.851,Salary Competitive Risk
20240415,51,1600,0.006666666666666666,Salary Competitive Risk
20240415,52,1700,0.03176190476190476,Salary Competitive Risk
20240415,53,1800,0.0,Salary Competitive Risk
20240415,54,1900,0.6914285714285714,Salary Competitive Risk
20240415,55,2000,0.03216666666666666,Healthy Profile
20240415,56,2100,0.008,Healthy Profile
20240415,57,2200,0.1486190476190476,Healthy Profile
20240415,58,2300,0.09178571428571428,Healthy Profile
20240415,59,2400,0.861309523809524,Healthy Profile
20240415,60,1500,0.0,Salary Competitive Risk
20240415,61,1600,0.05245238095238095,Salary Competitive Risk
20240415,62,1700,0.4601666666666669,Salary Competitive Risk
